#W_0n	Temperature centrale	Temperature moyenne
0.01	36020	28480.3
0.02	71994	45879.8
0.03	107922	62847
0.04	143804	82322.6
0.05	179640	102826
0.06	215429	123338
0.07	251173	143833
0.08	286869	164310
0.09	322519	184769
0.1	358122	205211
0.11	393679	225634
0.12	429188	246040
0.13	464651	266428
0.14	500066	286798
0.15	535434	307149
0.16	570755	327483
0.17	606028	347799
0.18	641253	368096
0.19	676431	388375
0.2	711561	408636
0.21	746644	428879
0.22	781678	449104
0.23	816664	469310
0.24	851602	489497
0.25	886492	509666
0.26	921333	529817
0.27	956126	549949
0.28	990870	570063
0.29	1.02557e+06	590158
0.3	1.06021e+06	610234
0.31	1.09481e+06	630291
0.32	1.12936e+06	650330
0.33	1.16386e+06	670350
0.34	1.19831e+06	690351
0.35	1.23271e+06	710333
0.36	1.26706e+06	730296
0.37	1.30136e+06	750240
0.38	1.33562e+06	770165
0.39	1.36982e+06	790072
0.4	1.40397e+06	809959
0.41	1.43807e+06	829826
0.42	1.47213e+06	849675
0.43	1.50613e+06	869504
0.44	1.54008e+06	889314
0.45	1.57398e+06	909105
0.46	1.60784e+06	928876
0.47	1.64164e+06	948628
0.48	1.67539e+06	968360
0.49	1.70909e+06	988073
0.5	1.74274e+06	1.00777e+06
0.51	1.77634e+06	1.02744e+06
0.52	1.80988e+06	1.04709e+06
0.53	1.84338e+06	1.06673e+06
0.54	1.87682e+06	1.08634e+06
0.55	1.91022e+06	1.10594e+06
0.56	1.94356e+06	1.12551e+06
0.57	1.97685e+06	1.14507e+06
0.58	2.01009e+06	1.1646e+06
0.59	2.04327e+06	1.18412e+06
0.6	2.07641e+06	1.20361e+06
0.61	2.10949e+06	1.22309e+06
0.62	2.14252e+06	1.24254e+06
0.63	2.1755e+06	1.26198e+06
0.64	2.20843e+06	1.28139e+06
0.65	2.24131e+06	1.30079e+06
0.66	2.27413e+06	1.32016e+06
0.67	2.3069e+06	1.33951e+06
0.68	2.33962e+06	1.35885e+06
0.69	2.37228e+06	1.37816e+06
0.7	2.40489e+06	1.39745e+06
0.71	2.43745e+06	1.41673e+06
0.72	2.46996e+06	1.43598e+06
0.73	2.50241e+06	1.45521e+06
0.74	2.53481e+06	1.47442e+06
0.75	2.56716e+06	1.49361e+06
0.76	2.59945e+06	1.51278e+06
0.77	2.63169e+06	1.53193e+06
0.78	2.66388e+06	1.55105e+06
0.79	2.69601e+06	1.57016e+06
0.8	2.72809e+06	1.58924e+06
0.81	2.76012e+06	1.60831e+06
0.82	2.79209e+06	1.62735e+06
0.83	2.82401e+06	1.64637e+06
